Temp,Humd,Label
26.0,32.0,1
26.0,32.0,1
26.0,32.0,1
26.0,32.0,1
26.0,32.0,1
25.0,32.0,1
25.0,32.0,1
25.0,32.0,1
25.0,32.0,1
25.0,32.0,1
25.0,32.0,1
25.0,32.0,1
25.0,32.0,1
25.0,33.0,1
25.0,32.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
17.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,39.0,1
25.0,41.0,1
25.0,42.0,1
25.0,44.0,1
25.0,49.0,1
25.0,50.0,1
26.0,54.0,1
26.0,56.0,1
26.0,57.0,1
26.0,59.0,1
26.0,61.0,1
26.0,61.0,1
26.0,58.0,1
26.0,57.0,1
26.0,54.0,1
26.0,53.0,1
26.0,50.0,1
26.0,50.0,1
26.0,48.0,1
26.0,48.0,1
26.0,45.0,1
26.0,44.0,1
26.0,44.0,1
26.0,43.0,1
26.0,43.0,1
26.0,42.0,1
26.0,42.0,1
26.0,41.0,1
26.0,41.0,1
26.0,40.0,1
